data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
1734825600000,202452,243.0,243,243.0,243,0.0012781504,3.6674544811,0,2,330455720245220389,2025-10-28,,0.7737700939,6625849.0,23.2439285714,94.5550714286,1,0,1,83.8228285714,70.1527,25.3076857143,28.2464428571,135,,,,,187576
1734220800000,202451,270.0,270,270.0,270,0.0052544195,4.0749492645,0,2,330455720245120389,2025-10-28,,0.811506927,6625849.0,23.0114571429,91.3363714286,1,0,1,77.7709142857,61.5472,25.6149571429,29.4733571429,148,,,,,187576
1733616000000,202450,336.0,336,336.0,336,0.6053302288,5.0710482597,0,2,330455720245020389,2025-10-28,,1.0209223032,6625849.0,22.2942142857,92.4930142857,1,0,1,81.1532571429,63.6945285714,24.6456857143,28.8083714286,178,,,,,187576
1733011200000,202449,335.0,335,335.0,335,0.8600202799,5.0559558868,0,2,330455720244920389,2025-10-28,,1.0889589787,6625849.0,22.5615,92.0570571429,1,0,1,80.5792428571,63.8878285714,25.7325428571,29.7779142857,180,,,,,187576
1732406400000,202448,354.0,354,354.0,354,0.9759677052,5.3427114487,0,1,330455720244820389,2025-10-28,,1.1668781042,6625849.0,21.1036428571,90.0784857143,1,1,1,72.8248142857,52.2328,24.9507142857,29.7007428571,196,,,,,187576
1731801600000,202447,303.0,303,303.0,303,0.1968645453,4.5729990005,0,1,330455720244720389,2025-10-28,,0.9341887832,6625849.0,21.1277,93.6325857143,1,0,1,83.1595714286,67.2754571429,23.4221857143,26.7770571429,156,,,,,187576
1731196800000,202446,253.0,253,253.0,253,0.0012335243,3.8183786869,0,1,330455720244620389,2025-10-28,,0.7768450379,6625849.0,20.0606571429,90.8999857143,0,0,1,81.3179,68.8407571429,22.4604142857,25.6968428571,130,,,,,187576
1730592000000,202445,376.0,376,376.0,376,0.994392395,5.674744606,0,1,330455720244520389,2025-10-28,,1.2141267061,6625849.0,22.238,91.0784,1,1,1,76.6410857143,60.0185,24.9434857143,28.2112285714,209,,,,,187576
1729987200000,202444,327.0,327,327.0,327,0.8945691586,4.9352164268,0,1,330455720244420389,2025-10-28,,1.1054674387,6625849.0,20.2597571429,91.5017571429,0,0,1,78.2891142857,62.8875428571,22.6382142857,25.6636,190,,,,,187576
1729382400000,202443,301.0,301,301.0,301,0.7563514709,4.5428142548,0,1,330455720244320389,2025-10-28,,1.0590773821,6625849.0,22.1377714286,91.4065714286,1,0,1,79.2517142857,62.1418714286,25.2315571429,29.6837571429,174,,,,,187576
1728777600000,202442,305.0,305,305.0,305,0.8207776546,4.6031837463,0,1,330455720244220381,2025-10-20,,1.0786734819,6625849.0,19.8014,90.2553714286,0,0,1,75.9558142857,58.3279285714,22.5901857143,26.6404857143,156,,,,,187576
1728172800000,202441,281.0,281,281.0,281,0.3443906307,4.2409658432,0,1,330455720244120376,2025-10-15,,0.9670714736,6625849.0,19.5270857143,88.0802285714,0,0,1,75.1293285714,59.7165,22.4900428571,26.6806142857,163,,,,,187576
1727568000000,202440,263.0,263,263.0,263,0.1481177956,3.9693026543,0,1,330455720244020368,2025-10-07,,0.9148308635,6625849.0,19.9713285714,87.0194,0,0,1,70.0472571429,49.8509857143,23.7494,28.7831857143,149,,,,,187576
1726963200000,202439,317.0,317,317.0,317,0.9587471485,4.7842926979,0,1,330455720243920363,2025-10-02,,1.1535333395,6625849.0,21.2191,87.0729428571,1,1,1,65.7065714286,41.6796,26.0231571429,31.9838285714,171,,,,,187576
1726358400000,202438,285.0,285,285.0,285,0.8164204955,4.3013353348,0,1,330455720243820354,2025-09-23,,1.0799925327,6625849.0,19.4398857143,89.7475142857,0,0,1,73.9435285714,54.1778142857,22.7712714286,27.4299857143,164,,,,,187576
1725753600000,202437,281.0,281,281.0,281,0.7253246903,4.2409658432,0,1,330455720243720347,2025-09-16,,1.0524522066,6625849.0,19.7286285714,81.4485857143,0,0,1,58.9064285714,30.347,26.0266428571,33.5407571429,172,,,,,187576
1725148800000,202436,254.0,254,254.0,254,0.1189843118,3.8334710598,0,1,330455720243620340,2025-09-09,,0.9030303359,6625849.0,18.5249,94.3440571429,0,0,1,79.8482428571,57.3037285714,22.4124714286,28.1919142857,144,,,,,187576
1724544000000,202435,256.0,256,256.0,256,0.0355386622,3.8636558056,0,1,330455720243520333,2025-09-02,,0.8577689528,6625849.0,14.9240142857,89.5492285714,0,0,1,74.8501142857,54.7792428571,18.8250571429,23.3766857143,153,,,,,187576
1723939200000,202434,295.0,295,295.0,295,0.0997136161,4.4522595406,0,1,330455720243420328,2025-08-28,,0.9022141695,6625849.0,17.5144142857,89.1566142857,0,0,1,68.6133714286,42.6126428571,23.0504714286,29.7508857143,189,,,,,187576
1723334400000,202433,285.0,285,285.0,285,0.0012280036,4.3013353348,0,1,330455720243320321,2025-08-21,,0.7875288129,6625849.0,13.7385714286,89.2387428571,0,0,1,70.9425142857,46.4702285714,19.0043428571,24.9803857143,171,,,,,187576
1722729600000,202432,319.0,319,319.0,319,0.0030504321,4.8144774437,0,1,330455720243220312,2025-08-12,,0.8137423992,6625849.0,17.4687,89.0138,0,0,1,70.6449,45.3576571429,22.4457571429,28.4358,198,,,,,187576
1722124800000,202431,382.0,382,382.0,382,0.0671475232,5.7652988434,0,1,330455720243120305,2025-08-05,,0.8998993635,6625849.0,16.8052714286,92.5954857143,0,0,1,77.2713857143,56.6331142857,20.6216428571,25.1612714286,261,,,,,187576
1721520000000,202430,378.0,378,378.0,378,0.0016891628,5.7049293518,0,1,330455720243020298,2025-07-29,,0.8166274428,6625849.0,14.8601,93.9739714286,0,0,1,75.5045428571,47.8821142857,19.8839142857,25.6557142857,231,,,,,187576
1720915200000,202429,433.0,433,433.0,433,0.0033699067,6.5350117683,0,1,330455720242920292,2025-07-23,,0.8385083675,6625849.0,17.3365428571,96.9634428571,0,0,1,83.7200857143,61.4084285714,19.9572428571,23.7426428571,293,,,,,187576
1720310400000,202428,453.0,453,453.0,453,3.1314e-06,6.8368597031,0,1,330455720242820284,2025-07-15,,0.7559598088,6625849.0,18.9627714286,96.1099857143,0,0,1,87.1135285714,72.8621142857,20.9078285714,23.8856285714,309,,,,,187576
1719705600000,202427,508.0,508,508.0,508,4.6e-09,7.6669421196,0,1,330455720242720278,2025-07-09,,0.7176662087,6625849.0,17.0553571429,91.2076857143,0,0,1,78.6628285714,57.9991142857,20.5749714286,24.9065571429,410,,,,,187576
1719100800000,202426,569.0,569,569.0,569,2e-10,8.5875787735,0,1,330455720242620270,2025-07-01,,0.7108623981,6625849.0,19.4901142857,87.1860285714,0,0,1,72.0472857143,50.7991,23.1226571429,27.9787428571,481,,,,,187576
1718496000000,202425,727.0,727,727.0,727,0.0005074002,10.9721784592,0,4,330455720242520263,2025-06-24,,0.8475983739,6625849.0,15.8707142857,85.4243428571,0,0,1,64.6792,35.9942857143,22.1554142857,29.0131714286,603,,,,,187576
1717891200000,202424,832.0,832,832.0,832,0.0004218149,12.5568809509,0,4,330455720242420256,2025-06-17,,0.8544355631,6625849.0,16.1474285714,88.9999142857,0,0,2,69.7597714286,43.3762142857,21.9124857143,28.3935142857,719,,,,,187576
1717286400000,202423,885.0,885,885.0,885,0.0,13.3567790985,0,1,330455720242320249,2025-06-10,,0.7101556659,6625849.0,17.1701428571,94.1322571429,0,0,2,80.8339285714,59.4416428571,20.8782,25.3494428571,781,,,,,187576
1716681600000,202422,775.0,775,775.0,775,0.0,11.6966142654,0,4,330455720242220242,2025-06-03,,0.4955376089,6625849.0,18.1564285714,91.5817428571,0,0,1,80.3804428571,66.1434285714,20.3501285714,22.8471428571,695,,,,,187576
1716076800000,202421,1281.0,1281,1281.0,1281,0.0,19.3333721161,0,4,330455720242120236,2025-05-28,,0.7077921629,6625849.0,20.5616857143,92.4196,0,0,2,77.8365571429,55.2440571429,23.7433285714,28.1088714286,1152,,,,,187576
1715472000000,202420,1611.0,1611,1611.0,1611,2e-10,24.3138656616,0,4,330455720242020228,2025-05-20,,0.8119199276,6625849.0,21.3986142857,88.1564857143,1,0,2,73.2427571429,52.4756857143,24.9709714286,29.4423142857,1482,,,,,187576
1714867200000,202419,1869.0,1869,1869.0,1869,1.06e-08,28.2077064514,0,4,330455720241920224,2025-05-16,,0.8391563296,6625849.0,20.6234714286,88.8572428571,0,0,2,69.5772,43.3874857143,25.6086857143,31.3372714286,1738,,,,,187576
1714262400000,202418,1996.0,1996,1996.0,1996,0.0,30.1244411469,0,4,330455720241820214,2025-05-06,,0.7342473269,6625849.0,21.8314571429,90.922,1,0,2,72.2940571429,46.5588,26.4268428571,31.9474142857,1843,,,,,187576
1713657600000,202417,2040.0,2040,2040.0,2040,0.0,30.7885074615,0,4,330455720241720207,2025-04-29,,0.5950591564,6625849.0,20.0138142857,90.1656,0,0,2,74.3735857143,52.7380142857,23.8927142857,28.8204571429,1851,,,,,187576
1713052800000,202416,2579.0,2579,2579.0,2579,0.0,38.9233131409,0,4,330455720241620201,2025-04-23,,0.6169359684,6625849.0,21.4813571429,89.5107428571,1,0,2,75.8657428571,59.3864714286,24.1468714286,27.5565142857,2336,,,,,187576
